Rodzaj linii kablowej
Linia kablowa podziemna (umieszczona bezpośrednio w ziemi)
Linia kablowa umieszczona w kanalizacji kablowej (w tym w rurociągu kablowym, mikrokanalizacji)
Linia kablowa umieszczona w kanale technologicznym
Linia kablowa nadziemna na podbudowie słupowej telekomunikacyjnej
Linia kablowa nadziemna na podbudowie elektroenergetycznej, oświetleniowej lub trakcyjnej
